时间,温度,光强
0,29.0031504097366,753
1,29.0031504097366,753
2,29.0031504097366,753
3,29.0031504097366,753
4,29.0031504097366,753
5,29.0031504097366,753
6,29.0031504097366,753
7,29.0031504097366,753
8,29.0031504097366,552
9,29.1076297513031,507
10,29.7367321041283,511
11,29.5266007754769,755
12,29.2122134908493,757
13,29.0031504097366,757
14,28.8987745044208,757
15,28.7945010776073,758
16,28.8987745044208,757
17,28.7945010776073,758
18,28.7945010776073,757
19,28.6903291754759,759
20,28.7945010776073,758
